Timestamp,المرحلة العمرية,السن,هل انت مهتم تعرف اكترعن ايه هو ال AI (الذكاء الاصطناعي),هل تعرف اي معلومات عن الذكاء الاصطناعي AI,هل سمعت عن تعلم الالة قبل كدا او ال machine learning
7/2/2024 22:57:11,اعدادي,15,نعم,لا,نعم
7/2/2024 22:58:48,اعدادي,13,نعم,لا,لا
7/2/2024 22:59:02,اعدادي,13,نعم,نعم,لا
7/2/2024 22:59:03,ثانوي,15,نعم,نعم,نعم
7/2/2024 22:59:10,اعدادي,31/1/2011,نعم,لا,نعم
7/2/2024 22:59:40,اعدادي,15,نعم,لا,نعم
7/2/2024 23:00:48,اعدادي,14,نعم,لا,لا
7/2/2024 23:01:10,اعدادي,15,نعم,نعم,لا
7/2/2024 23:01:11,اعدادي,14,نعم,نعم,نعم
7/2/2024 23:02:08,اعدادي,15,نعم,نعم,لا
7/2/2024 23:02:54,اعدادي,15,نعم,لا,لا
7/2/2024 23:09:22,ابتدائي,6,نعم,نعم,نعم
7/2/2024 23:19:00,اعدادي,14,نعم,نعم,نعم
7/2/2024 23:26:07,ثانوي,17,نعم,لا,لا
7/2/2024 23:29:37,اعدادي,15,نعم,نعم,نعم
7/2/2024 23:31:06,ثانوي,17,نعم,نعم,نعم
7/2/2024 23:32:28,اعدادي,13,نعم,نعم,لا
7/2/2024 23:33:17,اعدادي,13,نعم,نعم,لا
7/2/2024 23:36:50,ثانوي,22,نعم,نعم,نعم
7/2/2024 23:43:31,اعدادي,15,نعم,لا,نعم
7/2/2024 23:54:34,اعدادي,14,نعم,نعم,لا
7/3/2024 0:08:51,اعدادي,15,نعم,نعم,لا
7/3/2024 1:00:33,ابتدائي,13,نعم,نعم,نعم
7/3/2024 1:01:52,ابتدائي,13,نعم,نعم,نعم
7/3/2024 1:02:15,ابتدائي,13,نعم,لا,نعم
7/3/2024 1:02:35,ابتدائي,13,نعم,نعم,نعم
7/3/2024 1:07:33,اعدادي,14,نعم,لا,لا
7/3/2024 1:07:50,اعدادي,14,نعم,نعم,لا
7/3/2024 1:37:45,اعدادي,15,نعم,لا,لا
7/3/2024 3:10:14,اعدادي,Preparatory 3,نعم,نعم,لا
7/3/2024 11:07:22,ابتدائي,13,نعم,نعم,نعم
7/3/2024 11:08:16,ابتدائي,13,نعم,نعم,لا
7/3/2024 11:12:47,ابتدائي,13,نعم,لا,لا
7/3/2024 11:13:36,ابتدائي,13,نعم,لا,لا
7/3/2024 11:13:39,ابتدائي,12,نعم,نعم,نعم
7/3/2024 11:15:17,ابتدائي,12,نعم,نعم,نعم
7/3/2024 11:17:18,اعدادي,13,نعم,لا,لا
7/3/2024 11:20:34,ابتدائي,12,نعم,نعم,نعم
7/3/2024 11:22:39,ابتدائي,١١ سنة,نعم,لا,نعم
7/3/2024 11:40:38,ابتدائي,11,نعم,لا,نعم
7/3/2024 11:41:33,ابتدائي,11,نعم,نعم,نعم
7/3/2024 11:41:59,ابتدائي,11 سنة ,نعم,نعم,لا
7/3/2024 11:42:44,ابتدائي,13,نعم,نعم,لا
7/3/2024 11:46:34,ابتدائي,12,نعم,لا,لا
7/3/2024 11:51:40,ابتدائي,30ديسم 2012,نعم,لا,لا
7/3/2024 11:55:35,ثانوي,18,نعم,نعم,نعم
7/3/2024 12:01:24,ابتدائي,11,نعم,لا,نعم
7/3/2024 12:08:52,ابتدائي,١١ سنة,نعم,لا,لا
7/3/2024 12:10:58,ابتدائي,12,نعم,نعم,نعم
7/3/2024 12:33:15,ابتدائي,10,نعم,لا,لا
7/3/2024 12:34:56,ابتدائي,سنة ستة,نعم,نعم,لا
7/3/2024 12:41:32,ابتدائي,11,نعم,نعم,نعم
7/3/2024 12:46:18,ابتدائي,11 سنة ,نعم,لا,لا
7/3/2024 13:00:59,ابتدائي,10,نعم,لا,لا
7/3/2024 13:16:58,ابتدائي,12,نعم,نعم,نعم
7/3/2024 14:31:01,ابتدائي,10,نعم,نعم,لا
7/3/2024 14:54:00,ابتدائي,10,نعم,نعم,لا
7/3/2024 14:54:22,اعدادي,14,نعم,لا,لا
7/3/2024 15:02:52,ابتدائي,٩ سنوات,نعم,لا,لا
7/3/2024 15:03:44,ابتدائي,12,نعم,نعم,نعم
7/3/2024 15:25:07,ابتدائي,٩سنين,نعم,لا,نعم
7/3/2024 15:25:44,ابتدائي,٩سنين,نعم,لا,نعم
7/3/2024 16:11:57,ابتدائي,10,نعم,نعم,نعم
7/3/2024 16:52:27,ابتدائي,12,نعم,لا,نعم
7/3/2024 17:21:33,اعدادي,12,نعم,لا,لا
7/3/2024 18:40:53,اعدادي,13,نعم,لا,نعم
7/3/2024 18:50:39,ابتدائي,9,نعم,لا,لا
7/3/2024 18:56:41,ابتدائي,14,نعم,نعم,لا
7/3/2024 20:27:23,ابتدائي,خامسة ابتدائي 12 سنة,نعم,نعم,نعم
7/3/2024 23:00:15,ابتدائي,13,نعم,لا,لا
7/3/2024 23:26:58,ابتدائي,12,نعم,نعم,نعم
7/4/2024 13:24:26,ابتدائي,12,نعم,نعم,نعم
7/4/2024 15:18:23,اعدادي,12,نعم,لا,لا
7/4/2024 17:08:50,ابتدائي,11,نعم,لا,لا
7/4/2024 20:14:08,ابتدائي,12,نعم,لا,نعم
7/4/2024 22:59:56,اعدادي,14,نعم,نعم,نعم